Short Description,regex,Attempt Regex,ChatGPT Output
Odd number of b's,(a*ba*b)*a*ba*,a*b*(a*ba*b)*a*,"positive example: [aaa, aba, baa, aaaa, abb, bab, bbaa, abba], negative example: [aab, abbba, baab, babb, bba, aabbb]"
Three Choices (Regex),001|1010|110,001|10101|110|1010,"positive example:[001, 10101, 110, 1010]  
negative example:[, 00, 1000, 0010, 010, 1010111, 011, 1010110, 0000, 1111, 0001, 10110, 10, 11, 101000, 101001, 1110, 1010100, 0, 1, 101, 1101, 0011, 1010101, 1001, 1100, 101111001]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b)+aa+),"positive example:[bbaabaa, bbaabbaa, bbbbabaa, bbabbaa, aaaabaa, aaaaaabaa, aaabbaa, aaaabbaa, aabbabaa, aaabaa, bbabaa, bbaaaabaa]

negative example:[a, aaabaaaabbb, b, aab, bbb, aaabb, aaaab, bbabaaaabbb, bbaab, bbaaba, bbabb, aaaaba]"
even number of 1's,(0*10*10*)*|0*,(0*|1*)*,"positive example:[0, 1, 00, 11, 000, 111, 01, 10, 0011, 1100], negative example:[010, 101, 0110, 1001, 0101]"
contains 'bab',(a|b)*(bab)(a|b)*,((a|b)*(bab)*(a|b)*)*,"positive example:[abab, bab, ababbab, aaa, bbaabb],negative example:[aba, baa, abbabba]"
even prefix,(ab|ba)*,((ab|ba)*|(aabb|bbaa)*)*(aa|ab|ba|bb)*,"positive example:[aa, , bb, ab, ba, aaaa, bbbb, abab, baba, aabb, bbaa, aaaaab, bbbbba],
negative example:[aaa, bbb, aaab, baaa, abba, bbba, babb]"
Every b followed by two or more a's,(a|baa)*,[a]*|[baa]*,"positive example:[aa, , bb, a, b, baa, aaa, ba, ab],negative example:[bba, bbb, aba, bab, aab]"
Odd number of 1s,0*10*(10*10*)*,(0|1)*1(0|1)*1*0*,"positive example: [1100, 10110, 00110]  
negative example: [0, 10, 111]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*1*)*0*)|((1*0*)*1*),"positive example:[00, , 11, 0, 1, 000, 111, 01010, 10101],negative example:[01, 10, 000111, 111000, 110, 001]"
even number of 1's,(0*10*10*)*|0*,0*(0*1+0*1+0*)*,"positive example:[, 1010111, 1010110, 00101100, 00101111, 10100, 10001, 110, 0110, 1001, 010101, 0010011, 11100]

negative example:[001, 101001, 1000101, 10101, 10, 1101, 10110, 01, 100010, 11001, 1110]"
even prefix,(ab|ba)*,(ab|ba)*(aa+bb+ab+ab)*,"positive example: [ab, ba, abab, baba, aabaa, bbaab, ababab, babaab, abaabbaba, baababba]

negative example: [abb, bb, bbb, aabba, abba, bbaa, aba, aabab, babb, ababb]"
non isolated 'b',(a|(b*bb))*,(ab|ba|b|a)*(a)*,"positive example: [a, aba, baa, bbb, abba, bababa, aa]
negative example: [aaa, abb, babb, aab, baaa, abaaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b*a|b*)*aaa,"positive example:[baaa, aaa, bbaaa, abaabaaa, ababaabaabbbaaa, bbbbbaaa, bbabbaaa, babaaa]  
negative example:[abaa, baaba, bbb, aabb, aab, bab, abbb]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+[ba]*|(b*a*),"positive example:[a, aa, ab, abb, baaa, b, bba, bbba, aab]  
negative example:[baba, baaab, bab, bbbabbaabb, baab, abba, babb]"
non isolated 'b',(a|(b*bb))*,(a|b)*,"positive example:[a, b, aa, bb, aba, abb, ba, bab, abba, bbaa],negative example:[c, abc, aac, bac, cab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+|b+)+aaa,"positive example:[bbbbbbbaaa, aabaaaaa, abaaa, babbaaaa, bbaaa, ababbaaa, bbbaaaa, abbbaaa, baaaaaaaa, aaabbaaabaa],  
negative example:[aabba, abb, ba, ab, aaaaaaab, baaaaa, babaa, aabbb, bab, baa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)|(aa|bb))+aaa,"positive example:[baaabaaa, abbabaaa, aabbaaa, babaaa, aaabaaa, baaaaabbaaa, baaabaaa, bbabaaa, baabaaa, aabaaa, bbbabaaa, aaaaaabbaaa, abbaaabaaa, akbabaaa],  
negative example:[aaa, baa, aaaba, bbbab, baaaaaba, aaaa, aabaa, aaba, baaabb, abbab, aaaaabb, baba, aaaab, baaba, baaab]."
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a*|b*)+aaa,"positive example:[aaaa, babaaa, aaabbaaa, abbbaaa, aabaaa, bbaaa, aaa, aaaaabaaa],negative example:[aaabb, abaab, baaa, bbbbaa, abbaaab, bbaaaa, abaa, baa]"
