Short Description,regex,Attempt Regex,ChatGPT Output
Every b followed by two or more a's,(a|baa)*,((b|a)a+a*)*,"Positive example: [ """", ""ba"", ""aaa"", ""aa"", ""aaaaa"", ""bbaa"", ""aaaa"", ""abaaa"", ""baaa"", ""baa"", ""aaaaaa"" ]

Negative example: [ ""aaba"", ""ab"", ""bba"", ""bab"", ""b"", ""abab"", ""abb"", ""babaa"", ""a"", ""aab"", ""abbbaa"", ""bbaaa"" ]"
even number of 1's,(0*10*10*)*|0*,0|111*,"Positive example: [0, 11, 111, 1111, 11111]  
Negative example: [1, 10, 110, 101, 011]"
Length 1 or More,(0|1)(0|1)*,(0+|1*)|(1*|0+),"Positive examples: [0, 00, 1, 11, 111, 000, 0|1, 1|0, 0|0, 1|1]

Negative examples: [01, 10, 1100, 0011, 101, 010, 11001, 100, 0110]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a*b*(aaaa*)*,"Positive examples: [ """", ""a"", ""b"", ""aa"", ""aaaa"", ""aab"", ""bbaaaa"", ""aaaabbaa"" ]

Negative examples: [ ""aaa"", ""baaaa"", ""abab"", ""aabaaa"", ""aabbabaa"", ""bbbbbb"", ""aaaabba"" ]"
Odd number of b's,(a*ba*b)*a*ba*,((aa)|(ab)|(ba)|(bb)),"positive example: [aa, ab, ba, bb]  
negative example: [aaa, aab, bba, bbb, abab]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(ba|a|baa)*b,"positive example: [ ""bab"", ""ab"", ""baab"", ""baabab"", ""aaab"" ],  
negative example: [ ""ba"", ""baa"", ""aa"", ""baaa"", ""aba"" ]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*(10+1)*(01+0)*(10+1)*1*)|(0*(01+0)*(10+1)*(01+0)*0*),"Positive example: [110, 101, 1001, 000, 01010]

Negative example: [1110, 1010, 0001, 0101, 10010]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"a{2,}","positive example: [ ""aa"", ""aaa"", ""aaaa"", ""aaaaa"" ], negative example: [ ""a"", """", ""a a"", ""ab"", ""ba"" ]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a)*bb*,"positive example: [ ""ab"", ""aab"", ""abb"", ""aabb"", ""ba"", ""babb"", ""aabbb"" ]

negative example: [ ""bbba"", ""aaa"", ""bba"", ""aba"", ""bab"", ""b"", ""bbb"" ]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa+(a|b)*,"Positive example: [aaaaaa, baaaaaaab, bbaaaa, abaaaaaaaaabab]

Negative example: [abaaa, aaaaaa, bbaaa, aaabaa]"
even prefix,(ab|ba)*,((bb)*|(aa)*)*,"positive example: ["""", ""aa"", ""bb"", ""aabbaa"", ""aabb"", ""aaaa"", ""bbbb"", ""aaaabb"", ""bbaa"", ""bbaabb""]

negative example: [""ab"", ""abab"", ""aba"", ""ba"", ""baba"", ""ababab"", ""aabbaaab"", ""ababba"", ""aabbaab"", ""abb""]"
