Attempt Regex,DeepSeek Output
((b|a)a+a*)*,"positive example:[, baba, baaaba, aaba, aaaaba],negative example:[abb, baabb, babb, bab, aab, bbabbaa, bbb, baaababb, aaabb, aaaababb, ababbaa, aabb]"
0|111*,"positive example:[1111],negative example:[110, 000, 011, , 100, 001, 1, 101, 1111000110, 1101, 010]"
(0+|1*)|(1*|0+),"positive example:[000, , 111], negative example:[100, 101, 0100, 0001, 0111, 1110]"
a*b*(aaaa*)*,"positive example:[aa, , baaa, aabbb, aabbbaaaaa],negative example:[baba, baabb, bbba, babb, baaba, aabaa, aabaaabaa, baaaaab, aabaaabbb]"
((aa)|(ab)|(ba)|(bb)),"positive example:[aa, bb],negative example:[, a, bbba, aaba, b, bbbbbaab, aabbbaab, aaab, aaaa, bbaa, bbab]"
(ba|a|baa)*b,"positive example:[bab, (ba|a|baa)*b, aabab, baab],negative example:[a, babbaaba, bbbb]"
(1*(10+1)*(01+0)*(10+1)*1*)|(0*(01+0)*(10+1)*(01+0)*0*),"positive example: [, 00, 1001111, 01001101111, 01000110101000, 01001010110100, 0010, 01001010110101000, 101001001010111, 0010010, 110110110110101011, 111101101011, 0100101001000, 010010, 0100101, 01000110101001110, 010010100011, 0100100, 010010100111110, 10011, 1001101010111, 1010011011, 1101110, 01000110110100, 111101, 11011010110001, 01001, 01001011, 001001010, 101010110111, 0, 1010000, 1, 001001101011010, 11110110101110, 01001101101, 01001010000010, 1101111, 101010011100, 0010011010101000, 11011010110000111, 101011, 0100110100, 0100110101, 10110111, 00100, 11110110101, 101001001110, 0010011010100, 0010011010, 001001011000, 010, 001001101, 011000, 010010100110, 1111, 0010011010110000, 10110, 0010011010110001, 010010000, 1101101, 01001001000, 00001001, 1011, 1111011, 1010, 10110101, 10110100, 1101101011011, 0100101001001000, 0100010, 01001110, 0010000, 0010001, 0100101001010, 1010100, 001001110, 1010101, 01001111000, 0100101010, 1000100, 0100100100111010100, 110110010, 1101101011001001011, 010001101, 001001110011000, 101001001011, 01001101, 1011001, 01001010011100, 10111110, 1101101011010111, 00100110101110, 00100110100, 110110101100101, 101101, 010010100, 0100101011011, 110110101111, 0100101001011000, 101010101, 0010011010110110100, 100110101001110, 11011001001011, 01000001, 100110001, 1011000100, 11110110, 00100110110100, 10101, 10100, 101010100111, 101010111, 110110100111, 110110110001111, 010011011, 01001010110001, 01001001001011, 1101100001, 00100111001010100, 0011000, 101010000011, 1011101, 001001101011001, 01001010001, 110110111, 11011001010, 11011001011, 0100, 11001, 00100111110000, 00100100, 1010100100, 0100101011111, 1010100101, 101010001, 10101001110, 10111001011, 10101001111101, 010001100010000, 01001101100100, 100110101010110001, 01001010010, 1101101100011, 100110100, 100110101010111, 110110001, 1001101010000, 00100110101111000, 1010100110, 10110110100], negative example: [0100110100110, 01, 110111010100, 100110101010, 101010010110, 110111010101, 1001110, 10101001110001, 0100000111, 01001101110, 00001100001, 0100101001001, 001001010011, 110, 001001001, 0100101001101001, 1001101010110, 110110101101110, 1101110101100010, 111101110110, 1011010010, 10, 11011101110, 10101001110160, 101101010110, 0110101010001, 100110101001110110, 01001101100, 11011011000110100, 010011011110, 1011001001, 001001101011011, 1010001, 001, 001001011, 101010001110, 0100111, 01101010010, 01101011101, 11011010110010110, 01101011100, 1100, 011010100110011, 00100111, 00100110100111, 101111001, 1010100010, 01100111010, 010011010110110, 0010000111, 01100001, 1000, 0010011010101, 011010101010, 011010101011, 0100011000111, 1101101011000, 01001001, 010001101001, 10101001101110, 010010100000110, 1101110101110, 11011010010, 010010001, 0100101101, 1010101110, 001001101011000111, 11011001011001, 10101010, 0010011010110000111, 101010010001, 10011110, 011001010, 0100101001011, 1010110110, 00100110101101001, 11011010111001, 10110110, 01001010010101, 010010100110110, 01001010001001, 001100111001, 1101110010000, 1101110010001, 11011000101, 11011111001, 0100110110111, 0100101000110, 1101101101110, 001000111, 1011000, 01001010011101, 1101101000, 001001101011101, 1010100111110110, 110110101100100, 00100110101111, 0110110, 110110110110101, 110110101111001, 00111, 010001101111, 010001101110, 01001010010001, 001001101010001, 0100101001111101, 00100110111, 0010011010110011, 1001101110, 011010111110, 00100110110, 11011011011110, 01000110101, 0110001, 01101011000110, 110110101101010, 0110101010011101, 011010100001, 110111001110110, 1010011, 101010000010, 010001001, 1001100010001, 0100101001110001, 110111001001, 101001001, 110110010100, 1001101001, 10100001, 11011001001, 00110001, 11011010110100, 101101110, 100110101, 0010010001, 11011010110110, 110110000, 10111001, 1101101110, 0011001010, 0111, 0011001011, 11011001000, 1001101010001]"
"a{2,}","positive example:[aaaa],negative example:[, abb, aba, a, baa, aab, bbb, aaaaba, aaaabb]"
a*b(a)*bb*,"positive example:[bb, aabaabbb],negative example:[bba, aa, bbabb, aabaa, aabaabbbaabaa]"
(aa|ab|ba|bb)aaa+(a|b)*,"positive example:[bbaaabb, aaaaaaa],negative example:[aa, , aaa, bb, bba, a, b, aaaba, aabaa, aaaa, bbaabb, bbaa, bbbbb, bbabb, aaaaba]"
((bb)*|(aa)*)*,"positive example:[aa, bb, , aaaa, aabb, bbbb, bbaa],negative example:[aaa, bba, aba, bab, baa, aab, bbb, abbbaab]"
(a|b)b,"positive example:[bb, ab],negative example:[, a, bab, b, aab, aaabbaa, abbb, abaa, abba, bbbb, bbaa, abab, baabbaa, bbab, bbba]"
((aa)*b)*,"positive example:[bbaaaab, , aaaab, aabaab, aabb],negative example:[aaa, aaba, aabba, bbababaa, abbb, aaab, aaaa]"
a+|(b*a)*,"positive example: [, babbbaaa, a+|(b*a)*], negative example: [bbbab, aabab, baab]"
(0|1)*01(0|1)*,"positive example:[110100, 0001, 110111],negative example:[0, 11, 11000]"
(ab|aaa)*,"positive example:[, ab, aaaab, abab],negative example:[abb, aba, aaba, baa, bbb, abaa, aaab, aaaa, aabb]"
(1(11)*)|0*,"positive example:[000, , 111, 11111],negative example:[011, 110, 1101, 1111, 0001, 1100, 100100, 1011, 1110, 010]"
(aa+ab+bb+ba)*,"positive example:[, aaabbbba, aaaaabbbbbbaaaabbbba],negative example:[aa, aaa, aaabbbbabb, aaabbbab, aaabbab, aaabb, aabaa, aaabbbaa, aaabbaa, aaabab, aaabbbbaa, aaabaa, aaaaab, aaabbbbbb, aaabbb, aaabbbbaabb, aaabbbbbbaaba, aabbabb, aaabbbbaba]"
(ba|bb)*(a|bb)*,"positive example:[abb, , bb, bba, babaa, bbbba, baa, aaabb, abbbb, abba, ba],negative example:[bab, baaba, bbaba, bbb, abaaaba, ababb, abbaba, aaabbba, abbb]"
(a+|a*b*),"positive example:[aa, , aabbb, (a+|a*b*)], negative example:[bbba, bab, aabaabbaa]"
a+a+b+a+(a+b)*,"positive example:[aaaabbbaaaabab, aaba, aaaabbbaaaa, aabaab, aabaabab, aabaabaab],negative example:[, abb, aba, a, baa, aab, bbb, aaaababb, aaaababa, aabaaaaba, aabaababa, aaaa, aabaabbb, aabbbaaba, aabaababaabb, aabaabba]"
0*(11)*0*1*,"positive example:[110, 00, , 1101, 110111, 1111, 1100011, 00111],negative example:[1011001, 100, 11010, 110100, 1110, 111110, 001110, 1100011101]"
(a|ba+a)*,"positive example:[, aabaaa, baabaa],negative example:[baba, baaaba, babb, aabaabbbabb, aabaab, baabbaa]"
(ab)*,"positive example: [, ab, (ab)*, abab], negative example: [abb, aaa, bb, aba, aabaabb, ba]"
(0|(1(11))*)+,"positive example:[, 111111, 001110],negative example:[001, 0011011001, 111100, 0011, 1100, 111101, 111010]"
(a)*((b)+(aaa)+)*,"positive example:[aa, , baaa, baaabaaa, aabbbaaabbaaa, baaaaaa],negative example:[baaabb, baaaaa, baaababb, baaababa, aabbbaababaa, baabbb, baaaab, ba]"
(ab)+,"positive example:[abab],negative example:[aaa, , aba, baaba, bbb, aab, ababa, abbb, abaa, abba]"
((a|b)*(ab|b)b+(a|b)*b(ba|b))*,"positive example:[ababbbaabbababba, , bbbba, ababbbaabbababb, aabbbba, abbabba, abbabbabbbbaabba, babbbba, abbabbabbaaabba],negative example:[aa, bbbbabab, bbbbabbbbaab, bbbaa, bab, bbaaba, abaabb, bbbbabbaaa]"
0*0?|(0|1)11*,"positive example:[0, , 111, 0000, 0111],negative example:[110, 1, 101, 0101, 01110, 0100, 1110, 00111, 00001, 0010010]"
(a+(a*))|((a*)+(b*)),"positive example:[aa, , (a+(a*))|((a*)+(b*)), aabbb],negative example:[baaa, aabbbababb, ba]"
(a+b+)|(b+a+)(aaa)+,"positive example:[bbbaaaa, abbb, aaab, baaaaaa],negative example:[, aaa, baaabb, baaaba, aba, b, baa, abbba, aaabab, baaaaaabb, baaaaaaba, aaabaa, baba, bbba, baaa, babb, baabaa, baaaab, baabbb]"
