Short Description,Regex,Attempt Regex,ChatGPT Output
non isolated 'b',(a|(b*bb))*,a*(bb+bbb)a*,"positive example: [ ""bba"", ""bbbba"", ""abbb"", ""aaabbbaaa"", ""bbbbba"" ]  
negative example: [ ""bb"", ""bbbb"", ""abba"", ""bbbbaa"", ""a"" ]  "
even prefix,(ab|ba)*,(ab)*|(ba)*|(a(bb)a)*,"Positive example: [ab, ba, abab, baba, abbba, abbbabbba, abababa, aabba, bbaa]  
Negative example: [aa, bb, aaa, bbb, abba, bab, ababb, baab]"
Odd number of b's,(a*ba*b)*a*ba*,(a|bb|abab|bab|baab)*b(a|bb|abab|bab|baab)*,"positive example: ['ab', 'b', 'babab', 'baabbabab', 'ababbbabab', 'abbabab', 'babab', 'baabbab', 'babababab', 'bababab', 'babbaabab', 'babbbbaab']
negative example: ['a', 'bb', 'aba', 'babba', 'baaba', 'ababbbababab', 'bababbaaba', 'bababbaabab', 'bbabb', 'babaab']"
non isolated 'b',(a|(b*bb))*,(a|bb)*|(bbb)*,"Positive example: [a, bb, bbb, aabb, abbb, bbbbb, aaa, bbbbbb, bba, abbbaa]  
Negative example: [b, bba, bab, bbbbbbb, bbab, bbabba]  "
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001),"```plaintext
positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011, 100000, 110001, 110010, 110111, 110100, 111011, 111000, 111101, 111110, 000001, 000010, 000111, 000100, 001101, 001110, 001011, 001000, 011001]

negative example: [0, 11, 1010, 111111, 110110, 000000, 111001, 100001, 010000, 001001, 1111111, 1010101, 101110, 11101, 00011, 011111, 0010011, 010101, 110, 1001]
```"
non isolated 'b',(a|(b*bb))*,(a)*(bb)*(a)*,"Positive example: [ """", ""a"", ""bb"", ""aaa"", ""bbbb"", ""aaabb"", ""bb"", ""abba"", ""aabba"", ""bbbba"", ""aabb"", ""bbaaa"", ""bbbbba"" ]

Negative example: [ ""ab"", ""b"", ""ba"", ""bba"", ""bbbbbbb"", ""abab"", ""aaabba"", ""abb"", ""bab"", ""bbabaa"", ""b"", ""abbb"" ]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*|b*)*baa+a*b+,"Positive example: ['baaaab', 'baaabbb', 'baaabb', 'aaaaab', 'bbbbbaaabbb']
Negative example: ['bbab', 'aaabaaa', 'babaa', 'abaa', 'baaaabba']"
Length 1 or More,(0|1)(0|1)*,(0|1)((01)+),"positive example: [01, 0101, 101, 10101, 010101]  
negative example: [0, 1, 001, 100, 01101]  "
Odd number of b's,(a*ba*b)*a*ba*,a*b(ba*ba*)*a*,"Positive examples: [`b`, `ab`, `aab`, `ba`, `baba`, `bba`, `abba`, `baaba`, `babaa`, `aaabaaaa`]

Negative examples: [`a`, `bb`, `aaa`, `bbab`, `bab`, `baa`, `abab`, `aabba`, `bbaaa`, `babb`]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*b{2})*a*,"positive example: [abb, abbb, babbb, aabbbbb, abbabba, aaabbaaa]  
negative example: [bbb, ba, abba, aabab, bbba, abaabbb]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(baa+)b+,"Positive example: [baab, baaab, bbaaabbb, aaaabbaaabbb]  
Negative example: [bab, baaa, baabbaa, baaabb, baaaabbbb]  "
non isolated 'a',(b|(a*aa))*,(b*|a+ab*|aa+b*)b*(b*|aa+b*|a+ab*)b*(b*|aa+b*|a+ab*)b*,"Positive example: [bb, aababaa, aaabbbb, ababbb, ababb, aabaab, baaabb, aaabaaabbb, abaaabb]
Negative example: [bab, abba, baa, bbaa, aaaab, abbbbb, baabaab, aaababa, bbab]"
An even number of 1's,(0|10*1)*,(0*|101)+,"positive example:[0, 00, 101, 0, 0, 0, 101, 0, 101]
negative example:[011, 1001, 1011, 00, 1010]"
even number of 1's,(0*10*10*)*|0*,(0*10*10*)11(0*10*10*),"positive example: [01110, 1011011, 1100110011]  
negative example: [011011, 11011011, 11100011]  "
Every b followed by two or more a's,(a|baa)*,(b?aaa*)*,"Positive example: [ """", ""a"", ""aa"", ""aaa"", ""ba"", ""baa"", ""baaa"", ""aaaa"", ""bbaaa"" ]  
Negative example: [ ""b"", ""ab"", ""bb"", ""abab"", ""baab"", ""bbaa"" ]"
Odd number of b's,(a*ba*b)*a*ba*,(a)*b((a)|(bb))*,"Positive example: [`b`, `ab`, `bb`, `aaaab`, `abb`, `bba`, `bbaa`, `babab`, `abbbba`, `aabba`]

Negative example: [`a`, `ba`, `aaa`, `bababab`, `bababbb`, `bbb`, `abba`, `bbba`, `abaa`, `bbbb`]"
Odd number of b's,(a*ba*b)*a*ba*,(a)*(b)(a|bb)*,"```plaintext
positive example: [b, ab, baa, abba, aaaab, ba, aab, abb, babb]
negative example: [a, aba, bb, bab, aaabb, bbbb, aaaabb, bbabba, abbab]
```"
first and third,a(a|b)a(a|b)*,a(a|b)a(a*|b*),"positive example: [aaaa, aabaaaa, ababbb, aabaa]  
negative example: [aaa, baaa, abaa, aabba]  "
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*)|(0*)|(1+0+1+((1+0+1)|(01))*)|(0+1+0+((0+1+0)|(10))*),"Positive example: ['1', '11', '111', '0', '00', '000', '101', '101101', '010', '010010']
Negative example: ['11a', '0b0', '120', '1010', '010101', '01101', '1001']"
An even number of 1's,(0|10*1)*,0*|(10*1)*|0*,"Positive example: [ ""0"", ""00"", ""000"", """", ""101"", ""10101"", ""101001"", ""10"", ""1001"", ""000"", ""10101"" ]

Negative example: [ ""11"", ""011"", ""100"", ""110"", ""111"", ""1010"", ""01010"" ]"
Odd number of b's,(a*ba*b)*a*ba*,a*(a|bb)*ba*(a|bb)*,"Positive example: [ ""abba"", ""abbbba"", ""aaaabbaaa"", ""baba"", ""aabbaa"" ]  
Negative example: [ ""bb"", ""aaaab"", ""abb"", ""aabaaabbba"", ""bab"" ]"
non isolated 'b',(a|(b*bb))*,(bb|a)*,"Positive example: [ ""bb"", ""a"", ""bba"", ""aabb"", ""bbbbbb"", ""aa"", ""abba"", ""aaaa"" ]  
Negative example: [ ""b"", ""ab"", ""ba"", ""bbb"", ""abab"", ""aaaabb"", ""babab"" ]"
Odd number of b's,(a*ba*b)*a*ba*,[b]{1}([b]{2})*,"positive example:[b, bbb, bbbbbb, bbbbbbbbbb]  
negative example:[bb, bbbbb, bbbbbbb, bbbbbbbb]"
non isolated 'a',(b|(a*aa))*,(aa+)*b*,"Positive example: [aab, aaaab, b, aa, aaaa, aaaaab, bbbb]  
Negative example: [ab, aaabb, ba, a, bbba]"
even number of 1's,(0*10*10*)*|0*,(0*10*10*)(0*10*10*),"positive example: [1010, 10010, 101010]  
negative example: [100110, 1110, 11010]  "
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)(a*b)a)*((a|b)(a*b)),"positive example: [ ""aba"", ""bba"", ""ababba"", ""bbba"", ""abababa"", ""bababba"", ""aa"", ""abaa"" ]  
negative example: [ ""ab"", ""b"", ""a"", ""babab"", ""baa"", ""abba"", ""bbbb"" ]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(a|b)+(ab*)+a+a+a,"positive example: [aaaaaa, abaaba, bbaabaaaaa, aabaaa]

negative example: [aaaaa, abaabab, bbbabaaa, aaabaaa]"
