Short Description,regex,Attempt Regex,ChatGPT Output
Odd number of b's,(a*ba*b)*a*ba*,a*b*(a*ba*b)*a*,"positive example: [ """", ""a"", ""b"", ""aa"", ""bb"", ""ab"", ""ba"", ""aab"", ""abb"", ""aba"", ""aaaabbaa"", ""baaba"", ""bbaaab"", ""abba"", ""abab"", ""aaababbaa"" ]  
negative example: [ ""abbaab"", ""babaa"", ""aabbba"", ""baabab"", ""bbab"", ""bbaaa"", ""aaabbaaa"", ""abababaa"", ""bbaaabb"" ]"
Three Choices (Regex),001|1010|110,001|10101|110|1010,"positive example: [001, 10101, 110, 1010]  
negative example: [000, 111, 101, 0101]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b)+aa+),"positive example: [abaa, babaa, abaabaa, babaaa, babaaaa]  
negative example: [ab, bb, aa, abab, baaabb]"
even number of 1's,(0*10*10*)*|0*,(0*|1*)*,"Positive example: ["""" , ""0"", ""1"", ""00"", ""11"", ""000"", ""111"", ""000111"", ""111000"", ""000111000""]  
Negative example: [""01"", ""10"", ""0011"", ""1100"", ""0110"", ""1001"", ""0001"", ""1110"", ""010101"", ""101010""]  "
contains 'bab',(a|b)*(bab)(a|b)*,((a|b)*(bab)*(a|b)*)*,"positive example: [ ""bab"", ""abab"", ""ababbab"", ""babbabab"", ""baba"" ]
negative example: [ ""aab"", ""abbba"", ""bababb"", ""bababa"", ""aaba"" ]"
even prefix,(ab|ba)*,((ab|ba)*|(aabb|bbaa)*)*(aa|ab|ba|bb)*,"Positive example: [ ""aa"", ""bb"", ""ab"", ""ba"", ""abab"", ""baba"", ""aabb"", ""bbaa"", ""aaaa"", ""aabbaab"", ""baaaab"", ""abbb"", ""abababab"", ""bababa"", ""aabbabba"", ""bbaaa"" ]  
Negative example: [ ""aaa"", ""bbb"", ""a"", ""b"", ""aba"", ""bbaaab"", ""aabab"", ""abba"", ""bab"", ""baab"", ""abaaa"", ""aabaa"", ""bbbba"", ""aaabbb"" ]"
Every b followed by two or more a's,(a|baa)*,[a]*|[baa]*,"positive example: ["""", ""a"", ""aaa"", ""b"", ""aa"", ""baa"", ""baaa"", ""bba"", ""bbaa"", ""ba""],  
negative example: [""ab"", ""bb"", ""bab"", ""aab"", ""abaaa"", ""abab"", ""bbaaa""]"
Odd number of 1s,0*10*(10*10*)*,(0|1)*1(0|1)*1*0*,"Positive example: [101, 110, 1110, 1001, 11100]  
Negative example: [100, 011, 000, 1, 10]  "
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*1*)*0*)|((1*0*)*1*),"positive example: ["""" , ""0"", ""1"", ""00"", ""11"", ""01"", ""10"", ""001"", ""110"", ""000"", ""111"", ""010""]
negative example: [""0101"", ""1010"", ""0011"", ""1100"", ""0110"", ""1001""]"
even number of 1's,(0*10*10*)*|0*,0*(0*1+0*1+0*)*,"Positive example: [ ""0"", ""1"", ""01"", ""10"", ""001"", ""100"", ""0010"", ""0001"", ""010"", ""0000100"" ]  
Negative example: [ ""11"", ""111"", ""101"", ""1010"", ""110"", ""0111"", ""0101"", ""1001"", ""1110"", ""1100"" ]"
even prefix,(ab|ba)*,(ab|ba)*(aa+bb+ab+ab)*,"Positive example: [ ""ab"", ""ba"", ""abab"", ""baba"", ""aab"", ""abb"", ""abaa"", ""bbaa"", ""ababaa"", ""babab"", ""abababab"" ]  
Negative example: [ ""a"", ""b"", ""aba"", ""bab"", ""abbab"", ""bbaaa"", ""bbbb"", ""ababbb"", ""baab"", ""bbbbabab"" ]"
non isolated 'b',(a|(b*bb))*,(ab|ba|b|a)*(a)*,"Positive example: [ab, ba, b, a, abab, baba, abba, baa, a, aa, ababaa]  
Negative example: [babab, aaaab, abbaab, aba, baaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b*a|b*)*aaa,"positive example: [aaa, abaaa, bbaaa, babaaa, bbbaaa]  
negative example: [aa, aab, bab, bbb, abab]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+[ba]*|(b*a*),"positive example: [a, ab, aba, aab, bbbaa, aaa, ba, bbaa, b, bbaaa]  
negative example: [babab, bbbbbaaa, aaaaabbab, abba, baaab, aabba, bbabaa]  "
non isolated 'b',(a|(b*bb))*,(a|b)*,"Positive example: [a, b, aa, bb, ab, ba, aaa, aab, bba, abab, baba, aaaa]  
Negative example: [aaabbb, abbababb, baababa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+|b+)+aaa,"Positive example: [aaaaa, baaabaaabaaabaaabaaabbaaaa, aaaaaaaaabaaaa, aaabbaaabaaabaaaaa, aaaaaaaaaaaa]  
Negative example: [bbaaaaa, aaaab, aabaaaaa, baaaaabaa, bbbbbaabab]  "
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)|(aa|bb))+aaa,"positive example: [aaa, baaa, bbaaa, aaabaaa, bbbaaabaaa]  
negative example: [a, baa, bbaa, abaaa, aaaaab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a*|b*)+aaa,"positive example: [aaa, aaaa, bbbbaaa, abbbaaa, bbbaaa, baa, aaabbaa, bbabbbaaa]  
negative example: [aab, bbaaa, abbaa, baaaa, aaabb, bbabaa]  "
contains 'bab',(a|b)*(bab)(a|b)*,(a|b|bab)*(a|b)*,"positive example: ["""" , ""a"", ""b"", ""aa"", ""bb"", ""bab"", ""aba"", ""abab"", ""baba"", ""babaab""]

negative example: [""c"", ""abc"", ""bac"", ""bba"", ""aaa"", ""bbbab"", ""ccb"", ""acc"", ""babaaac""]"
even prefix,(ab|ba)*,(ab|ba|aabb|bbaa)*(aa|bb|ab|ba)*,"Positive example: [ ""aabb"", ""ab"", ""bbaa"", ""aaaa"", ""bb"", ""abab"", ""baba"", ""aabbab"", ""baaa"", ""ababbb"" ]  
Negative example: [ ""aaa"", ""bbb"", ""bba"", ""abba"", ""bbaaa"", ""aabba"", ""abbb"", ""bab"", ""baab"", ""bbab"" ]  "
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a*ba*b*)*(a)*,"```plaintext
positive example: [b, aba, aaabaaa, bab, ba, aabaaaababaaaa, aab, aaaabaa]
negative example: [ab, bb, baa, abaaba, abb, aaaaab, aaabb, abaaa, bbaa]
```"
non isolated 'b',(a|(b*bb))*,((a|b)*bb(a|b)*)*a*,"positive example: [ ""a"", ""bba"", ""bbb"", ""abba"", ""bbabaa"", ""bbbbbaaa"", ""ba"" ],  
negative example: [ ""bb"", ""ab"", ""bab"", ""aaaab"", ""bbbabb"", ""b"" ]  "
Every b followed by two or more a's,(a|baa)*,(a|(b*aa))*,"Positive example: [ """", ""a"", ""aa"", ""aaa"", ""baaa"", ""bbaa"", ""bbaaab"", ""bbaaabaa"", ""aaaaaa"", ""bbaaabbbaa"" ]

Negative example: [ ""b"", ""ab"", ""ba"", ""babab"", ""bbba"", ""aab"", ""bbaaaa"", ""bbbb"", ""babb"", ""abb"" ]"
Every b followed by two or more a's,(a|baa)*,(a)*((b|aa)*(a)*)*,"Positive example: [ ""a"", ""b"", ""aa"", ""aaaa"", ""ab"", ""aab"", ""ba"", ""bbaa"", ""aaaab"", ""aabaa"" ]  
Negative example: [ ""ababa"", ""aabbb"", ""baabba"", ""aaaabbb"", ""bbaaab"" ]"
