attempt_id,attempt_description,user_id,question_description,regex,RE_id
27,"The string can contain at most 2 'a's, and all other characters are 'b'.",411,Contains less than three a’s.,b*a?b*a?b*,16
28,"The regular expression matches all strings that must contain ""aa"", with ""b"" or ""ab"" before ""aa"" and ""b"" or ""ba"" after ""aa"".",411,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,17
29,"This regular expression matches prefixes composed of ""a"" or ""ba"", followed by a part that can be either ""b"" or ""ab"", and finally allows for at most one ""a"" at the end.",411,At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,18
30,"The regular expression matches prefixes composed of either ""a"" or ""ba"", optionally followed by one ""bb"", and then a suffix composed of either ""a"" or ""ab"".",411,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,19
31,This regular expression matches strings consisting of zero or more occurrences of alternating a's and b's.,411,Every odd position is b.,(a?b)*,20
32,Strings ending with 'ab',386,Ends with ab,(a|b)*ab,6
33,"After b, only one a can follow.",386,Does not contain baa as a substring.,a*(ba+b)*,7
34,"Composed of zero or more 'a' or 'b', followed by a 'b', and finally followed by four characters, each of which can only be 'a' or 'b'.",386,The 5th symbol from the right end is b.,(a|b)*b(a|b)(a|b)(a|b)(a|b),8
35,String containing abab,386,Contains the substring abab.,(a|b)*abab(a|b)*,9
36,Strings starting with either 'a' or 'b'.,386,Start with a and have odd length or start with b and have even length.,(a(a|ba|b)*)|(ba|b(a|ba|b)*),10
37,"Any string composed of characters a and b, and ending with ab.",383,Ends with ab,(a|b)*ab,6
38,"Translation: zero or more strings starting with ""a"", followed by zero or more strings formed by a combination of ""ba"" or ""b"".",383,Does not contain baa as a substring.,a*(ba+b)*,7
39,"Start with any string, followed by a b, then a string of length 4 consisting of a,b combinations.",383,The 5th symbol from the right end is b.,(a|b)*b(a|b)(a|b)(a|b)(a|b),8
40,"The string contains the substring ""abab"", which can be preceded and followed by zero or more arbitrary strings consisting of a and b.",383,Contains the substring abab.,(a|b)*abab(a|b)*,9
41,"It starts with either an 'a' followed by zero or more strings of length 2 consisting of 'a' and 'b', or it starts with a 'b' followed by an 'a' or 'b', then followed by zero or more strings of length 2 consisting of 'a' and 'b'. The length of the entire string is odd.",383,Start with a and have odd length or start with b and have even length.,(a(a|ba|b)*)|(ba|b(a|ba|b)*),10
42,"The string starts with zero or more combinations of ""ab"" or ""b"", followed by two consecutive ""a""s, and then zero or more combinations of ""ba"" or ""b"".",410,Every odd position is b.,(a?b)*,20
43,AB strings that end with ab,391,Ends with ab,(a|b)*ab,6
44,"Match patterns consisting of any number of 'b' characters, with at most one 'a' character inserted in between, and this pattern can be repeated twice.",414,Contains less than three a’s.,b*a?b*a?b*,16
