question_description,correct_regex,attempt_regex,user_id
Begins with b and ends with a.,b(a|b)*a,b(a|b)*a,107
Begins with b and ends with a.,b(a|b)*a,b[ab]*a,100
Even number of a’s.,(b|(ab*a))*,((b*ab*a)*),107
At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"b*(ab{2,}a)*b*",107
Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,b*(a?b*)*aa(b*|a?b*)*,107
Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,(a|b(?!b))*,107
Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,(b(a|b))*b?,107
anbm where n ≥ 3 and m is even,aaaa*(bb)*,"a{3,}b{2,}*",107
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,(a|b){2}a(a|b)*,107
Begins with b and ends with a.,b(a|b)*a,b[ab]*a,105
At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),b*a(bbb*a)*b*|b*,100
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,(a|b){2}a(a|b)*,108
Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,((ab+){2})*,108
Contains less than three a’s.,b*a?b*a?b*,"(b)*(ab*){0,2}",108
Length is a multiple of 3.,((a|b)(a|b)(a|b))*,(b*(ab)*)*aab+(a(b)+)*a,110
At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,b?(a+b)*a*(b+a)*b*,108
Every odd position is b.,(a?b)*,b*(ab+)*,108
Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,(b*(ab)*)*aa(b*|b+a|(b+ab+)*)*,100
Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),a*(ab|ba|a)a*,108
Length is a multiple of 3.,((a|b)(a|b)(a|b))*,((a|b){3})*,108
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,[ab]{2}a[ab]*,104
Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,(b*abb*abb*)*|b*,104
Contains less than three a’s.,b*a?b*a?b*,b*ab*|b*ab*ab*|b*,104
Every odd position is b.,(a?b)*,b*(abb*)*,104
