question_description,correct_regex,attempt_regex,user_id
Begins with b and ends with a.,b(a|b)*a,^b.*a$,100
Begins with b and ends with a.,b(a|b)*a,b(ab)*a,107
Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,^(b[ab])*b?$,411
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,(a|b){2}a(a|b)*,411
Length is a multiple of 3.,((a|b)(a|b)(a|b))*,((a|b){3})+,411
anbm where n ≥ 3 and m is even,aaaa*(bb)*,"^a{3,}(bb)+$",411
Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),^a+b?$,411
Begins with b and ends with a.,b(a|b)*a,b(a|b)*a,386
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,aaa(a)*,386
Even number of a’s.,(b|(ab*a))*,aa(b)*,386
Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,(abab)*,386
At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),(abba)*,386
Begins with b and ends with a.,b(a|b)*a,b(a|b)*a,383
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,(a|b)(a|b)a(a|b)*,383
Even number of a’s.,(b|(ab*a))*,(b*ab*a)*b*,383
Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,b*(abab)*b*,383
At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"b*(a(b{2,})b*)*a?b*",383
Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,^(b(.)?)*b?$,410
Begins with b and ends with a.,b(a|b)*a,^b.*a$,391
Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,^(b[^b]*)*$,414
Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),^(?!.*b.*b).*a.*$,414
anbm where n ≥ 3 and m is even,aaaa*(bb)*,"^a{3,}(?:b{2})+$",414
Length is a multiple of 3.,((a|b)(a|b)(a|b))*,^(?:.{3})*$,414
