attempt_id,attempt_regex,RE_id,question_description,regex,positive_strings,negative_strings,user_id
138,b(a|b)*a,11,Begins with b and ends with a.,b(a|b)*a,"[bba, babbaaaba]","[aaa, bb, ababb, <empty>, babbaaabab]",107
148,b[ab]*a,11,Begins with b and ends with a.,b(a|b)*a,"[bba, babaaabbba]","[bbbab, ab, babb, baaabab, <empty>, aabbaa]",100
155,((b*ab*a)*),13,Even number of a’s.,(b|(ab*a))*,"[aa, baaaa, aba, babbabbbaa]","[babbaa, ab, aab, baabbba]",107
158,"b*(ab{2,}a)*b*",15,At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"[bb, bbabbbbaabba, abbabbb, abba]","[aaa, bba, abbbbaab, abbbb, abbaabab, abbaba, bbaabaabb, abbaaa, abbbbaabaa, abbabab, abbabaa, abbabbba]",107
159,b*(a?b*)*aa(b*|a?b*)*,17,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,"[bbabaa, abaa, aaaa, aabb]","[a, aba, <empty>, bbab]",107
163,(a|b(?!b))*,19,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,"[b?!ba, aab?!bb?!b]","[aabbabbaa, bbb, b?!, b?!aa, b?!bbab, b?!ab, b?!bbaa, b?aa, b?bb, b?ba, b?ab, b?!bab, b?]",107
165,(b(a|b))*b?,21,Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,"[bb, bab, bbb, ba]","[abb, bba, babaa, bbbba, baa, aaaba]",107
171,"a{3,}b{2,}*",23,anbm where n ≥ 3 and m is even,aaaa*(bb)*,"[aaa, aaabbbb, aaaaabb]","[abb, aa, aba, a, bbb, aaabbab, aaabbaa, aaabbbba, <empty>, aaabaa, aaab, aabb, babaa, aaba, aaaaabab]",107
172,(a|b){2}a(a|b)*,25,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[bbabb, aaaaa]","[aa, bb, a, bbbbb, b, aabaa, <empty>]",107
186,b[ab]*a,11,Begins with b and ends with a.,b(a|b)*a,"[babba, baaaba, bbbaba]","[bb, ab, babaaabbb, <empty>, aabbaa]",105
195,b*a(bbb*a)*b*|b*,15,At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"[bbabbb, abba, bbab]","[bbaabbab, abbaa, abbbaa, abaa, aaaa, abab]",100
212,(a|b){2}a(a|b)*,12,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[bbabb, aaaaa]","[aa, bb, a, bbbbb, b, aabaa, <empty>]",108
217,((ab+){2})*,14,Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,"[abbbababab, <empty>, ababbbabab]","[baabba, bb, aa, ab, ababaaa, abaaa, abaab, ababbbabbba, ababa, ababaab]",108
222,"(b)*(ab*){0,2}",16,Contains less than three a’s.,b*a?b*a?b*,"[bba, bb, bbaabb, abba]","[aaa, bbabbabbabbaab, aaaa]",108
228,(b*(ab)*)*aab+(a(b)+)*a,24,Length is a multiple of 3.,((a|b)(a|b)(a|b))*,"[aaba, baaba, aababa, abaabbbaba]","[aa, aba, aababaaaabba, <empty>, aabaab, aaab, aabb, aaaa, bbab]",110
