Attempt Regex,DeepSeek Output
a*b*(a*ba*b)*a*,"positive example:[aa, , bb, aab, bba, aabaa, abab, b],negative example:[aba, bab, aabaab, baab, abba]"
001|10101|110|1010,"positive example:[110, 001, 1010, 10101],negative example:[, 00, 1000, 0010, 010, 1010111, 011, 1010110, 0000, 1111, 0001, 10110, 10, 11, 101000, 101001, 1110, 1010100, 0, 1, 101, 1101, 0011, 1010101, 1001, 1100, 101111001]"
((a|b)(a|b)+aa+),"positive example: [bbaabaa, bbaabbaa, bbbbabaa, bbabbaa, aaaabaa, aaaaaabaa, aaabbaa, aaaabbaa, aabbabaa, aaabaa, bbabaa, bbaaaabaa], negative example: [, a, aaabaaaabbb, b, aab, bbb, aaabb, aaaab, bbabaaaabbb, bbaab, bbaaba, bbabb, aaaaba]"
(0*|1*)*,"positive example:[00, , 11],negative example:[]"
((a|b)*(bab)*(a|b)*)*,"positive example:[aa, , bb, bab, ababa, bbab, aababaa], negative example:[baa, abab, bba, aab]"
((ab|ba)*|(aabb|bbaa)*)*(aa|ab|ba|bb)*,"positive example:[aa, , bb, ((ab|ba)*|(aabb|bbaa)*)*(aa|ab|ba|bb)*, aaaa, bbbb], negative example:[aaa, bbb]"
[a]*|[baa]*,"positive example:[aa, , bb, a, b, baa, aaa, baaa], negative example:[ab, ba, aba, baba, aab, bba]"
(0|1)*1(0|1)*1*0*,"positive example:[00100, 00111],negative example:[00]"
((0*1*)*0*)|((1*0*)*1*),"positive example:[00, , 11],negative example:[]"
0*(0*1+0*1+0*)*,"positive example:[, 1010111, 1010110, 00101100, 00101111, 10100, 10001],negative example:[001, 101001, 1000101, 10101, 10]"
(ab|ba)*(aa+bb+ab+ab)*,"positive example:[babaaabbabab, , ab, aabbababaaaabbabab, abaabbabab, abbaaabbabab, baaabbabab, aabbbbabab, aabbabab, aaabbabab, ba, aabbabbbabaabbabab],negative example:[bba, abb, aba, aabbabababb, aabbababaaa, bab, baa, aabbabaab, aabbabababa, bbb, aabbabbbaaa, aabb, aaaabaaaba, aabbababba, aabbababbb, aababb, aabbaaa, aabbbba, aabbaba, aabbaab, aabbabbb, aabbababaab, aabbababa]"
(ab|ba|b|a)*(a)*,"positive example:[aa, , bb, a, b, ab, ba, aaa, aba, bba], negative example:[abab, baba, abba, baab]"
(a|b*a|b*)*aaa,"positive example:[bbabaaa, aabbaaa, aabaaa, abaaa, aaabbaaa, aaabaaa, aaaaabaaa, abbaaa],negative example:[baabb, baaabb, baaab, aba, baaaaaba, abbaa, abbaaba]"
a+[ba]*|(b*a*),"positive example:[aaa, , abb, baaa, bbba, b],negative example:[baba, baaab, bab, bbbabbaabb]"
(a|b)*,"positive example:[aa, , bb],negative example:[]"
(a+|b+)+aaa,"positive example: [babaaa, aaaaaabaaa, baaabaaa, aaaabaaa, aaabbaaa, aaabaaa, abbabaaa, bbbabaaa, baabaaa, aaaabbaaa, aabaaa, aabbaaa, baabbaaa, baaabbaaa, babbaaa, baaaaabaaa], negative example: [, aaa, baaabb, baa, aaaba, baaaaaba, aaabb, abbab, aaaaaaba, aaaab, aaaabb, aabb, bbbab, baabb, baba, baaab, babb, aaba, baaba]"
((a|b)|(aa|bb))+aaa,"positive example: [babaaa, baaabaaa, aaaabaaa, aaabbaaa, aaabaaa, abbabaaa, bbbabaaa, baabaaa, aaaaaabbaaa, aabaaa, aabbaaa, baaaaabbaaa, baabbaaa, babbaaa], negative example: [, aaa, baaabb, baa, aaaba, baaaaaba, aaabb, abbab, aaaaaaba, aaaab, aaaabb, aabb, bbbab, baabb, baba, baaab, babb, aaba, baaba]"
(aa+|bb+|ab+|ba+|a*|b*)+aaa,"positive example:[bbabaaa, aabbaaa, aabaaa, abaaa, aaabbaaa, aaabaaa, aaaaabaaa, abbaaa],negative example:[baabb, baaabb, baaab, aba, baaaaaba, abbaa, abbaaba]"
(a|b|bab)*(a|b)*,"positive example:[aa, , bb, a, b, bab, abab, baba, aab, bba], negative example:[baa, abba, baaa, ababab, bbbaa]"
(ab|ba|aabb|bbaa)*(aa|bb|ab|ba)*,"positive example:[aa, , bb, aaaa, bbbb], negative example:[aaa, bbb]"
(a)*b(a*ba*b*)*(a)*,"positive example:[aabaa, aabbb],negative example:[aa]"
((a|b)*bb(a|b)*)*a*,"positive example:[aa, , babb, aababb, baaababb, bbaa, bbbb],negative example:[babaab, b, aaba, aabab]"
(a|(b*aa))*,"positive example:[, aabaaa, baabbbaa], negative example:[baaab, baababbb, aabaabbbabaaba, aabaabbba]"
(a)*((b|aa)*(a)*)*,"positive example:[aa, , bb], negative example:[]"
((a|b)a*(ba|b))*,"positive example:[, bbabaab, ababb, abaab, abbab, aaabbb, abbb, bbaaab, bbabbbab, ababbbab, bbbb, bbbab, bbaab, bbabb, bbaba, abaaab, ababa, ababaab, baabbb],negative example:[abaaa, aaabb, abbbb, ababbbabaa, bbabaa, abba, bbaabb, baabb, bbbbb, bbba, bbaaa, bbabbbabaa, abaabb, ababaa]"
(0*|1)*(0*|1)*,"positive example:[00, , 11],negative example:[]"
0*1(01)*1*0*,"positive example:[110, 00101, 1111000, 1000, 1011, 1010],negative example:[00, 0011011011, 110100, 110001, 111101, 101001, 1001, 101101, 10001]"
a+(a|b)+a+(b)*,"positive example:[aaa, aba, aabbaaa, abbbabb], negative example:[aa, , a, ab, baa, bbb, abbb, aabb]"
(/#)|((a|b|/?)|#)|(#/),"positive example:[""#"", ""a"", ""b"", ""/"", ""#/"", ""/#""], negative example:["""", ""ab"", ""//"", ""##"", ""a#"", ""b/""]"
a*b*(a|b)*,"positive example:[aa, , bb],negative example:[]"
((a)*b(a)*(bb)*)*,"positive example:[, abb, aba, baa, bbb, aaab],negative example:[aaa, a]"
(a+|b+)*aaa,"positive example:[bbabaaa, aabbaaa, aabaaa, abaaa, aaabbaaa, aaabaaa, aaaaabaaa, abbaaa],negative example:[abb, aa, aba, aaba, aaaba, aaaaabb, aaab, aabb, bbab]"
(0|1|0(0|1)*0|1(0|1)*1)*,"positive example:[00, , 11],negative example:[]"
(a)*a*b*a*,"positive example:[aa, , bbba, aab, aabaaa],negative example:[bbbab, babb, baaab, aabababbaa]"
(a*ba*)*,"positive example:[, ab, baa, bbb, aaaba, aaabb],negative example:[aaa, a]"
(a|b)*aaaa*,"positive example:[abaaabbbaaa, aabbaaa, aabaaa, aaabaaa, aaaaabaaa, abbaaa],negative example:[abb, aa, aba, aaba, aaaba, aaaaabb, aaab, aabb, bbab]"
(a*ba*)+,"positive example:[aabaa, aabbb, ba, aba, baa], negative example:[aa, a, bbb, abab, aaaa]"
(0*10*1*)*,"positive example:[, 011, 100, 111, 0001, 010],negative example:[0, 000]"
((((a|b)a*ba))|((a|b)a*b))*,"positive example:[, bbabaab, abaab, abbab, aaabbb, abbb, bbaaab, bbabbbab, ababbbab, bbbb, bbbab, bbaab, bbaba, abaaab, ababa, ababaab, baabbb],negative example:[abb, bbb, abbbb, aaabaaa, ababbbabaa, baabaaa, bbabaa, abba, bbaabb, bbbbb, bbba, bbabbbabaa, abaabb, ababaa]"
(a(a|b)a(a|b)*)*,"positive example:[, ababb, aaaaa],negative example:[aa, bb, a, ab, abbbb, aabaa, ba]"
((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*|aa|bb,"positive example:[baabba, babaab, , bababa, abba, aaaa, aabb, bbbbbb, bbbbaa, bbaaaa, bbaabb, baab, bbaa, bbbb, abab, baba, baabab],negative example:[a, b, abaaa, abbba, abaab, abbbb, aabaa, aaabbabb, aabab, aaabaa, baabb, bbaab, bbbbb, babaa, bbbba, bbaaa, baaba, babab]"
(a*b*)(ab|ba|aa|ab)*,"positive example:[aa, , babbaabab, aab, babbaaaaa, babbaabba, babbaaaba, bbba, babaa, aabaaaba, babab, babbaab, babbaaa, babbaba],negative example:[babbaa, babbaaaa, babbaabb, babbaaba, babbaaabb, babbaabbb, babbababb, babbbabaa, babaabbb, babbb, babbbbb, babbabb, aabbbaaababbb, babbaaab, babbab, bababbb]"
(a|b)*(baa*)(a|b)*b,"positive example:[bbbab, babaab, aabaaabab, babbbab],negative example:[aa, baa, aabbbabaabbbaba, aabbb, ba]"
((0|1)*(0(101)*0|1(010)*1|(1001)*|(0110)*)(0|1)*)*,"positive example:[00, , 11],negative example:[]"
(a|b)+a+a+a+,"positive example:[babaaa, abaaa, abaaabbaaa, bbaaabaaa, bbaaaaabaaa, bbaaa, abaaaaabaaa, aabaaa, aabbaabbaaa, abaaabaaa, bbaaabbaaa, babbaabbaaa, abaabaaa, bbaabaaa],negative example:[, aaa, baaabb, baaaba, baa, aaaba, aaaaaab, aaabb, abbab, aaaabb, aabb, baaaaab, bbbab, baabb, baba, babb, aaba, baaba, aaaaba]"
(a*(b+a+)+b+),"positive example:[bbbab, babaab, aabaaabab, babbbab],negative example:[babbbaba, aa, babaa, aabbb, aabbbaaaba, ba]"
((a|b)*|(baa+))b,"positive example:[babbbaaab, ((a|b)*|(baa+))b], negative example:[babbbaaa]"
"(a*(b|bb{2,})*a*)+","positive example:[aa, , bb],negative example:[]"
0*(0|1)*,"positive example:[00, , 11],negative example:[]"
1*|((0|1)*1(0|1)*)*,"positive example:[, 11, 01, 000100, 000111, 10],negative example:[000, 0]"
(0|1)|(0|1)*(0|1)*,"positive example:[00, , 11],negative example:[]"
0+(0*1*0*)*,"positive example:[000, 011, 0+(0*1*0*)*], negative example:[, 111, 10010]"
a(a|b)*a(a|b)*,"positive example:[aaaa, abba, aabb],negative example:[abb, , a, baa, bbb]"
(1+(0*1*0*)*1+)|(0*1*0*)*,"positive example:[00, , 11],negative example:[]"
(a|b)*,"positive example:[aa, , bb],negative example:[]"
